content_id,client_id,baseline_rank,baseline_action_score,suggested_action,reason_codes,is_declining_label,trend_direction,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,engagement_rate,content_age_days,days_since_last_update,word_count
content_3e78b54b55dd,client_19581e27de,2619,0.7617947921418567,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,4237,19,41,6.5,0.45,2.44,329,104,0.0
content_27ecfa37a42a,client_6208ef0f77,2620,0.7617735270653262,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,8558,5,61,16.5,0.06,1.64,286,104,5918.0
content_179f7277234c,client_19581e27de,2621,0.7617728319444445,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,7422,19,23,4.2,0.26,0.0,482,22,0.0
content_24792450aff3,client_7f2253d7e2,2622,0.761736015914099,refresh_and_review_ctr,position_opportunity,1,down,116249,678,571,4.8,0.58,1.4,224,20,4184.0
content_3bea937ba4be,client_6208ef0f77,2623,0.7616596892111511,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,7211,15,123,12.7,0.21,0.81,153,104,4903.0
content_6b42235cade4,client_f369cb89fc,2624,0.7616058068096572,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,35514,118,68,5.9,0.33,2.94,97,20,2690.0
content_0c1d3c670a4e,client_19581e27de,2625,0.7616011023509404,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,up,6005,1,10,18.3,0.02,0.0,313,104,0.0
content_1501fb002acd,client_19581e27de,2626,0.7615924634920634,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,5440,14,17,14.8,0.26,0.0,313,104,0.0
content_da5d26410ae1,client_4e07408562,2627,0.7615844632881151,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,up,11016,20,27,9.9,0.18,3.7,390,25,3414.0
content_c9139af55035,client_19581e27de,2628,0.7615431687394957,refresh_and_review_ctr,position_opportunity,0,up,77821,963,1112,3.4,1.24,1.62,103,20,3016.0
content_6e0da6acaf48,client_6208ef0f77,2629,0.7615053749789916,monitor,general_review,0,stable,12538,54,475,23.1,0.43,1.05,125,104,3902.0
